编号,标题,作者列表,单位,摘要,原文PDF
1,Debugging Engine Enhanced by Prior Knowledge: Can We Teach LLM How to Debug?,"Kunyi Li, Sai Wu, Xiu Tang, Chang Yao, Songhao Bu, Quanqing Xu, Gang Chen","Kunyi Li (Zhejiang University, China, China); Sai Wu (Zhejiang University); Xiu Tang (Zhejiang University); Chang Yao (Zhejiang University); Songhao Bu (Zhejiang University); Quanqing Xu (OceanBase, Ant Group); Gang Chen (Zhejiang University)","Automated Program Repair (APR) powered by Large Language Models (LLMs) has shown strong potential for improving software reliability. However, existing LLM-based APR approaches underutilize the rich debugging knowledge latent in large-scale bug-fix corpora. Prior work has primarily advanced APR through multi-agent coordination, prompt engineering, task decomposition, or model training. While effective to some extent, these methods rely heavily on the implicit reasoning capacity of LLMs, without explicitly modeling the debugging knowledge that underlies successful program repair. We present DeepK, a novel framework that systematically extracts, validates, and reuses debugging knowledge to guide LLMs in APR. Rather than treating historical bug-fix pairs solely as contextual exemplars, DeepK distills them into a structured knowledge base of verified debugging knowledge. This knowledge base can be seamlessly integrated into diverse APR pipelines, providing interpretable reasoning traces and step-wise repair strategies that enhance the repair performance. We evaluate DeepK on multiple benchmarks (ACPR, Atcoder) using both GPT-4o and DeepSeek-v3. Results show that DeepK consistently surpasses state-of-the-art APR systems in repair accuracy. Ablation studies confirm the importance of edit description generation, multi-perspective retrieval, and two-fold debugging knowledge. Varying the number of retrieved entries further highlights the trade-off between informativeness and noise. These findings emphasize the essential contribution of explicit debugging knowledge in advancing LLM-based APR and establish DeepK as an extensible framework for building more reliable repair systems.",pdfs/01_Kunyi Li_Debugging Engine Enhanced by Prior Knowledge - Can We Teach LLM How to Debug.pdf
2,DECODE: Dynamic Exploration for Constraint-Guided Vulnerability Discovery in Deep Learning Operators,"Haotong Liu, Zhi Wang, Liu Zhuohang, Wanpeng Li","Haotong Liu (Nankai University); Zhi Wang (Nankai University); Liu Zhuohang (Nankai University); Wanpeng Li (University of Liverpool, United Kingdom)","The security and robustness of deep learning (DL) frameworks are vital, as vulnerabilities in low-level operator implementations can lead to serious reliability and security risks. While testing has proven effective in uncovering such flaws, existing techniques struggle to accurately capture the complex input constraints required by DL operators, resulting in low test coverage and missed bugs. To address this, we propose DECODE, a fully automated framework that performs efficient and precise constraint extraction through dynamic analysis. DECODE models operator-specific input requirements by observing valid execution traces and exploring constraint relationships. It then uses these refined constraints to generate high-quality test inputs capable of exposing memory error vulnerabilities. We evaluated DECODE on two widely used DL frameworks - TensorFlow and PyTorch - where it uncovered 96 bugs (54 in TensorFlow and 42 in PyTorch), 70 of which have been confirmed by developers. Compared to state-of-the-art tools, DECODE detected 41, 75, and 87 more bugs than IvySyn, DocTer, and DeepREL, respectively, demonstrating its superior effectiveness in uncovering previously undetected vulnerabilities.",pdfs/02_Haotong Liu_DECODE Dynamic Exploration for Constraint-Guided Vulnerability Discovery in Deep.pdf
3,Denoising Fault Localization with Test Line Proximity,"Marius Smytzek, Andreas Zeller","Marius Smytzek (CISPA Helmholtz Center for Information Security, Germany); Andreas Zeller (CISPA Helmholtz Center for Information Security, Germany)","When a program fails, statistical fault localization (SFL) provides important debugging hints by identifying the locations whose execution most correlates with failures. However, such correlations can be weakened if a test contains both passing and failing assertions, creating ambiguous and misleading associations. Likewise, if multiple lines correlate with the same strength, SFL provides little guidance to disambiguate between them. This paper proposes a novel proximity-based weighting scheme for SFL that assigns different weights to locations in the test subject based on temporal proximity to a failure. The more recently a subject line is executed before the test fails, the higher its weight. We operationalize a known heuristic into a lightweight statistical form compatible with existing SFL formulas. Our approach applies to any test, from simple single-line tests (where it preserves SFL behavior), to single-assertion tests with multiple lines (where it benefits from temporal proximity), to complex multi-assertion tests (where it provides the most benefit by distinguishing failing from passing assertions). Once computed, the weights can be integrated into any existing SFL technique. Our evaluation of proximity-weighted fault localization on 310~real-world programs shows that it consistently outperforms fault localization techniques across all test types. Proximity-weighted fault localization shows per-subject relative improvements of 200%–400%, meaning that, for a typical subject, it provides 3 to 5 times the baseline effectiveness. These improvements represent substantial gains over baseline techniques. Our approach can be integrated into existing fault localization techniques to improve performance, making it a valuable addition to automated debugging.",pdfs/03_Marius Smytzek_Denoising Fault Localization with Test Line Proximity.pdf
4,"Deployability-Centric Infrastructure-as-Code Generation: Fail, Learn, Refine, and Succeed through LLM-Empowered DevOps Simulation","Tianyi Zhang, Shidong Pan, Zejun Zhang, Zhenchang Xing, Xiaoyu Sun","Tianyi Zhang (Australian National University); Shidong pan (New York University); zejun zhang (Nanjing University); Zhenchang Xing (CSIRO's Data61); xiaoyu sun (The Australian National University, Australia)","Infrastructure-as-Code (IaC) generation holds significant promise for automating cloud infrastructure provisioning. Recent advances in Large Language Models (LLMs) present a promising opportunity to democratize IaC development by generating deployable infrastructure templates from natural language descriptions. However, current evaluation focuses on syntactic correctness while ignoring deployability, the critical measure of the utility of IaC configuration files. Six state-of-the-art LLMs performed poorly on deployability, achieving only 20.8$\sim$30.2% deployment success rate on the first attempt. In this paper, we construct DPIaC-Eval, the first deployability-centric IaC template benchmark consists of 153 real-world scenarios cross 58 unique services. Also, we propose an LLM-based deployability-centric framework, dubbed IaCGen, that uses iterative feedback mechanism encompassing format verification, syntax checking, and live deployment stages, thereby closely mirroring the real DevOps workflows. Results show that IaCGen can makes all evaluated models reach 54.6$\sim$91.6% in 10 iterations. Additionally, human-in-the-loop feedback that provide direct guidance for the deployability errors, can further boost the performance to over 90% passItr@25 on all evaluated LLMs. Furthermore, we explore the trustworthiness of the generated IaC templates on user intent alignment and security compliance. The poor performance (25.2% user requirement coverage and 8.4% security compliance rate) indicates a critical need for continued research in this domain.","pdfs/04_Tianyi Zhang_Deployability-Centric Infrastructure-as-Code Generation Fail, Learn, Refine, and.pdf"
5,Detecting Bugs in Rust Compiler Fix Suggestions via Constraint-Violation-Guided Mutation,"Zixi Liu, Yang Feng, Jialiang Jiang, Baowen Xu","Zixi Liu (Nanjing University, China); Yang Feng (Nanjing University, China); Jialiang Jiang (Nanjing University); Baowen Xu (Nanjing University)","Rust is a modern systems programming language that ensures memory safety through unique mechanisms, including ownership, borrowing, and lifetime annotations. These features prevent critical vulnerabilities but also impose strict constraints that many developers find difficult to understand. To mitigate this challenge, the Rust compiler, rustc, provides rich diagnostics and fix suggestions. However, recent studies reveal that diagnostic issues account for about 20% of all reported rustc bugs. Our analysis of rustc’s suggestion bugs fixed over the past three years shows that most of them originated from errors in Rust-specific core modules, such as the type checker and borrow checker, rather than from simple mistakes in the general diagnostic logic, like suggesting an incorrect variable name or mismatched parentheses. The impact of diagnostic issues, especially bugs in rustc’s fix suggestion, should not be underestimated, as they can mislead developers and reduce rustc’s usability, and in severe cases may even lead to rustc crashes. Existing testing tools, however, provide little support for systematically evaluating the correctness and reliability of these suggestions. To address this gap, in this paper, we present SugBreaker, an automated testing framework specifically designed to validate rustc’s suggestions. We propose a constraint-violation-guided mutation approach that injects type-related, borrow-related, and lifetime-related errors into valid Rust programs to trigger compiler diagnostics and iteratively verify the correctness of suggested fixes. SugBreaker has already detected 12 bugs, and 11 of them have been confirmed or fixed; all of them are triggered by different rustc error messages. Compared with a series of rustc testing baseline tools, SugBreaker achieves broader coverage of rustc’s core checking modules and a higher suggestion trigger rate, which further confirms the effectiveness and efficiency of SugBreaker for testing rustc’s fix suggestions.",pdfs/05_Zixi Liu_Detecting Bugs in Rust Compiler Fix Suggestions via Constraint-Violation-Guided .pdf
6,Detecting Code-Comment Inconsistencies in Smart Contracts by Combining LLM and Program Analysis,"Jiashuo Zhang, Jiachi Chen, Ting Zhang, Yue Li, Daoyuan Wu, Yanlin Wang, Jianbo Gao, Ting Chen, Zhong Chen","Jiashuo Zhang (Peking University, China); Jiachi Chen (Zhejiang University); Ting Zhang (Peking University); Yue Li (Peking University); Daoyuan Wu (Lingnan University, Hong Kong SAR China); Yanlin Wang (Sun Yat-sen University, China); Jianbo Gao (Peking University, China); Ting Chen (University of Electronic Science and Technology of China, China); Zhong Chen","Smart contracts have attracted rapid development and widespread application. Due to the complexity of real-world smart contracts, it is error-prone to correctly enforce all intended functionalities in code implementations, resulting in unintended functional behaviors and security issues in practice. Code-comment inconsistency detection has emerged as an important solution to these issues, which leverages the redundant functional specifications in comments to detect code implementations that violate developers’ intentions. However, existing inconsistency detection solutions are typically pattern-based and limited to fixed types of inconsistencies, which prevents them from detecting the diverse inconsistencies between real-world code implementations and casually written comments. To bridge the gap, this paper presents SmartComment, the first technique that combines LLMs with program analysis techniques for detecting code-comment inconsistencies in smart contracts. SmartComment introduces an LLM-driven workflow which simulates real-world interactions between code reviewers and developers to identify inconsistencies. It incorporates various program analysis techniques into the workflow, including comment propagation and code context extraction for generating input context for inconsistency detection, as well as program variant generation and differential analysis for inconsistency confirmation. Our evaluation results show that SmartComment detects 203 valid inconsistencies from a dataset of 1,000 real-world contracts with a precision of 79.9%, highlighting its effectiveness in detecting prevalent and diverse real-world inconsistencies. Compared to previous work, SmartComment achieves both higher precision and recall, detecting over 90% of inconsistencies that existing methods fail to identify. Furthermore, an ablation experiment demonstrates the effectiveness of incorporating program analysis techniques into SmartComment, improving the F1-score from 58.7% to 81.3%.",pdfs/06_Jiashuo Zhang_Detecting Code-Comment Inconsistencies in Smart Contracts by Combining LLM and P.pdf
7,DiverFPS: Generating Diverse Solutions for Floating-Point SMT Formulas,"Shuangyu Lyu, Chuan Luo, Ruizhi Shi, Zhuo Su, Chunming Hu","Shuangyu Lyu (Beihang University); Chuan Luo (Beihang University, China); Ruizhi Shi (Beihang University); Zhuo Su (Beihang University); Chunming Hu (Beihang University, China)","Satisfiability Modulo Theories (SMT) is a fundamental technique underpinning a wide range of applications in software engineering and testing. Among various SMT theories, the theory of floating-point plays a crucial role in practical software systems, yet reasoning about floating-point constraints remains challenging. Although existing SMT solvers are capable of producing single solutions, many applications, particularly in software testing and verification, require diverse sets of solutions to adequately exercise program behaviors. While achieving high diversity is essential for exploring system behaviors, it is also important to limit the number of generated solutions, as overly large solution sets can considerably increase testing time and resource consumption, thereby diminishing efficiency. In this work, we propose DiverFPS, a novel floating-point SMT sampler designed to generate small solution sets that achieve high target abstract syntax tree (AST)-coverage, which is commonly regarded as the standard metric for assessing solution diversity in the SMT sampling domain. DiverFPS operates in two stages: an exploration stage that aims to achieve the target AST-coverage as fully as possible, and a pruning stage that prunes redundant solutions while preserving the target AST-coverage. We further introduce three novel techniques, namely solution-driven restart strategy, context-aware encoding technology, and coverage-driven pruning strategy, which enhance the performance of DiverFPS. Extensive experiments on publicly available SMT-LIB benchmarks for QF_FP and QF_BVFP logics demonstrate that DiverFPS outperforms state-of-the-art SMT samplers. It successfully achieves the target AST-coverage on a larger number of benchmarks, which existing samplers fail to reach, while producing solution sets that are up to 92.9% smaller, the former improving the effectiveness of practical software testing and verification, and the latter improving testing efficiency and reducing resource consumption. These results demonstrate that DiverFPS is a high-performing sampler for floating-point SMT sampling.",pdfs/07_Shuangyu Lyu_DiverFPS Generating Diverse Solutions for Floating-Point SMT Formulas.pdf
8,Do Not Treat Code as Natural Language: Implications for Repository-Level Code Generation and Beyond,"Minh Le-Anh, Huyen Nguyen, Khanh An Tran, Nam Le Hai, Linh Ngo Van, Nghi D. Q. Bui, Xuan-Bach D. Le","Minh Le-Anh (FPT Software AI Center); Huyen Nguyen (Hanoi University of Science and Technology); Khanh An Tran (Hanoi University of Science and Technology); Nam Le Hai (Hanoi University of Science and Technology); Linh Ngo Van (Hanoi University of Science and Technology); Nghi D. Q. Bui (Google Research, United States); Xuan-Bach D. Le (University of Melbourne, Australia)","Large language models for code (CodeLLMs) have demonstrated remarkable success in standalone code completion and generation, sometimes even surpassing human performance, yet their effectiveness diminishes in repository-level settings where cross-file dependencies and structural context are essential. Existing Retrieval-Augmented Generation (RAG) approaches often borrow strategies from NLP, relying on chunking-based indexing and similarity-based retrieval. Chunking results in the loss of coherence between code units and overlooks structural relationships, while similarity-driven methods frequently miss functionally relevant dependencies such as helper functions, classes, or global variables. To address these limitations, we present Hydra, a repository-level code generation framework that treats code as structured code rather than natural language. Our approach introduces (i) a structure-aware indexing strategy that represents repositories as hierarchical trees of functions, classes, and variables, preserving code structure and dependencies, (ii) a lightweight dependency-aware retriever (DAR) that explicitly identifies and retrieves the true dependencies required by a target function, and (iii) a hybrid retrieval mechanism that combines DAR with similarity-based retrieval to provide both essential building blocks and practical usage examples. Extensive experiments on the challenging DevEval and RepoExec benchmarks, both requiring function implementation from real-world repositories with complex large repository context, show that Hydra achieves state-of-the-art performance across open- and closed-source CodeLLMs. Notably, our method establishes a new state of the art in repository-level code generation, surpassing strongest baseline by over 5% in Pass@1 and even enabling smaller models to match or exceed the performance of much larger ones that rely on existing retrievers.",pdfs/08_Minh Le-Anh_Do Not Treat Code as Natural Language Implications for Repository-Level Code Gen.pdf
9,DualCodeDetect: Zero-Shot LLM-Generated Code Detection via Dual-Channel Perturbation,"Zhengdao Li, Xiuwei Shang, Zhenkan Fu, Shikai Guo, Weiming Zhang, Nenghai Yu, Kejiang Chen","Zhengdao Li (University of Science and Technology of China); Xiuwei Shang (University of Science and Technology of China, China); Zhenkan Fu (University of Science and Technology of China); Shikai Guo (Dalian Maritime University, China); Weiming Zhang (University of Science and Technology of China, China); Nenghai Yu (School of Cyber Security, University of Science and Technology of China); Kejiang Chen (University of Science and Technology of China, China)","The rapid advancement of large language models (LLMs) in code generation has greatly improved software development efficiency, but it has also raised concerns about misuse, making the distinction between human-written and LLM-generated code an urgent task. However, existing detection methods for LLM-generated content, particularly perturbation-based zero-shot methods, are primarily designed for natural language scenarios and fail to transfer effectively to the task of detecting generated code. When directly applied to code, they face two major challenges: (1) the low-entropy nature of code restricts the perturbation space and weakens discriminative signals; and (2) prior perturbation methods often compromise semantic integrity or executability, leading to substantial performance degradation. To address these issues, we propose DualCodeDetect, a novel zero-shot detection framework that amplifies the differences between LLM-generated and human-written code through a dual-channel perturbation mechanism. In the semantic channel, we design an identifier perturbation strategy based on outside-nucleus sampling, which disrupts the strong consistency of LLMs in identifier selection. In the structural channel, empirical analysis reveals that LLM-generated code exhibits greater uniformity in stylistic features; leveraging this insight, we construct a rule-based library of semantics-preserving code transformations to introduce structural perturbations that further magnify statistical disparities. In experiments conducted across two datasets and six representative code LLMs, DualCodeDetect achieves an average AUROC of 0.8535 under both T=0.2 and T=1.0 temperature settings, demonstrating significant superiority over existing detection methods.",pdfs/09_Zhengdao Li_DualCodeDetect Zero-Shot LLM-Generated Code Detection via Dual-Channel Perturbat.pdf
10,DuCodeMark: Dual-Purpose Code Dataset Watermarking via Style-Aware Watermark–Poison Design,"Yuchen Chen, Yuan Xiao, Chunrong Fang, Zhenyu Chen, Baowen Xu","Yuchen Chen (Nanjing University); Yuan Xiao (Nanjing University, China); Chunrong Fang (Nanjing University, China); Zhenyu Chen (Nanjing University, China); Baowen Xu (Nanjing University)","The proliferation of large language models for code (CodeLLMs) and open-source contributions has heightened concerns over unauthorized use of source code datasets. While watermarking provides a viable protection mechanism by embedding ownership signals, existing methods rely on detectable trigger–target patterns and are limited to source-level tasks, overlooking binary-level scenarios such as decompilation. In this paper, we propose DuCodeMark, a stealthy and robust dual-purpose watermarking method for code datasets that generalizes across both source-level and binary-level code tasks. DuCodeMark parses each code sample into an abstract syntax tree (AST), applies language-specific style transformations to construct stealthy trigger–target pairs, and injects repressible poisoned features into a subset of return-typed samples to enhance robustness against watermark removal or evasion. These features remain inactive during normal training but are activated upon watermark removal, degrading model performance. For verification, DuCodeMark employs a black-box method based on the independent-samples $t$-test. We conduct a comprehensive evaluation of DuCodeMark across 72 settings spanning two code tasks, two programming languages, three CodeLLMs, and six decoding temperatures. The results demonstrate that it consistently achieves strong verifiability ($p < 0.05$), high stealthiness (suspicious rate $\leq$ 0.36), robustness against both watermark and poisoning attacks (recall $\leq$ 0.57), and a substantial drop in model performance upon watermark removal (Pass@1 drops by 28.6%), underscoring its practicality and resilience.",pdfs/10_Yuchen Chen_DuCodeMark Dual-Purpose Code Dataset Watermarking via Style-Aware Watermark–Pois.pdf
